"verified_type, twitter id, observation id",text,user_screen_name,st_y,st_x,location_full_name,location_country,created_at,Total Votes,Score
"(pos,550724718244806656,550724718244806656)",@Summitoutadvent @Sierratp @CTSSTrail Stargazing the #NorthernLights in Alaska with our little boys #ResolutionsFor2015,EJessaL,63.99796674,-150.0064701,"Alaska, AK",United States,2015-01-01 18:46:19+00,2,2
"(pos,551112881761427456,551112881761427456)",Just witnesses the #AuroraBorealis in #Seltjarnarnes. What a sight. Photos to come after dinner! _Ÿ˜Å,Alasdair91,64.13251412,-22.05146621,Iceland,Iceland,2015-01-02 20:28:44+00,2,2
"(pos,551113847281827840,551113847281827840)",Just witnessed the #AuroraBorealis in #Seltjarnarnes. What a sight. Photos to follow after dinner! _Ÿ˜Å,Alasdair91,64.12908145,-21.9589161,Iceland,Iceland,2015-01-02 20:32:35+00,3,3
"(pos,551137177732939777,551137177732939777)",Finally the #AuroraBorealis crossing the moon. I need a professional camera :) #IcelandairInfo #MyStopover #Iceland http://t.co/y0gezaCrsy,Adrianasankri,64.04273443,-20.97687865,Iceland,Iceland,2015-01-02 22:05:17+00,4,2
"(pos,551140841419735040,551140841419735040)",More #NorthernLights!! #IcelandAdventure with hayree93 @ Northern Lights Iceland http://t.co/hbqNjYcznD,MichaelGuerrera,64.12044342,-21.95083874,Iceland,Iceland,2015-01-02 22:19:50+00,2,2
"(pos,551144120329465859,551144120329465859)","I just saw Aurora Borealis on a very starry night, Norway can really be beautiful sometimes âœ¨_ŸŒŒ",ingjengh,61.98297914,9.984173814,"Kingdom of Norway, 00",Norway,2015-01-02 22:32:52+00,2,2
"(pos,551153038866804736,551153038866804736)",#AuroraBorealis in #Iceland tonight. Absolutely beautiful! _Ÿ˜Å_Ÿ™Œ http://t.co/y0kFlebLeQ,Alasdair91,64.13858348,-22.01063353,Iceland,Iceland,2015-01-02 23:08:19+00,2,2
"(pos,551161609910243329,551161609910243329)","#NorthernLights (#AuroraBorealis) over southern #Norway tonight, its faint but it's there. #Bliss for me who grew up with these lights (%",TheEmmeya,61.99068412,9.994456482,"Kingdom of Norway, 00",Norway,2015-01-02 23:42:22+00,2,2
"(pos,551171064449884160,551171064449884160)",Just back from a night tour and I saw them!! _Ÿ˜ƒ #aurora #Tromso #norway #northernlights #travel #ttotâ€_ http://t.co/OtY7ZKuWWA,BrianAddison75,69.64322885,18.94785274,"TromsÃ¸, Norge",Norge,2015-01-03 00:19:56+00,4,4
"(pos,551173458089246721,551173458089246721)",Another shot from tonight's tour!! #aurora #northernlights #norway #Tromso #winter #ttot #travelâ€_ http://t.co/NN5bYJ1wVJ,BrianAddison75,69.62907396,18.92365825,"TromsÃ¸, Norge",Norge,2015-01-03 00:29:27+00,3,3
"(pos,551654402147110912,551654402147110912)",Currently watching this happen #NorthernLights http://t.co/bRpmdjLJw1,TRathRedick,64.81447417,-147.886414,"College, AK",United States,2015-01-04 08:20:33+00,2,2
"(pos,551706071920676865,551706071920676865)",#NorthernLights are out dancing &amp; I'm home in #Alaska-life is looking good for #2015 http://t.co/EZ7EutW7fb,missalaska09,61.12605396,-149.8093337,"Anchorage, AK",United States,2015-01-04 11:45:52+00,2,2
